,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount
2016-09-23,154.87,157.22,153.87,154.98,101.4621,12476162.0,0.0
2016-09-16,155.26,158.53,153.21,153.84,100.7158,21990587.0,0.0
2016-09-09,159.88,161.76,155.65,155.69,101.9269,15009419.0,0.0
2016-09-02,158.83,160.57,158.1,159.55,104.454,11286596.0,0.0
2016-08-26,160.0,161.34,157.85,158.32,103.6487,13571765.0,0.0
2016-08-19,162.4,162.97,159.52,160.04,104.7748,14873739.0,0.0
2016-08-12,162.73,164.95,161.52,161.95,106.0252,19554950.0,1.4
2016-08-05,160.65,163.51,159.8,163.5,106.1231,15067283.0,0.0
2016-07-29,162.0,163.6,160.03,160.62,104.2538,13747991.0,0.0
2016-07-22,159.3,162.17,157.89,162.07,105.1949,24775973.0,0.0
2016-07-15,154.6,161.4,154.5,159.78,103.7086,18535456.0,0.0
2016-07-08,151.19,154.6,149.92,154.46,100.2555,10213227.0,0.0
2016-07-01,146.18,152.97,142.5,152.35,98.886,19155814.0,0.0
2016-06-24,152.6,155.48,146.18,146.59,95.1473,22214411.0,0.0
2016-06-17,151.63,152.72,149.0,151.99,98.6523,15849580.0,0.0
2016-06-10,153.09,154.09,151.86,152.37,98.8989,14920842.0,0.0
2016-06-03,152.56,153.81,151.54,152.89,99.2365,13470239.0,0.0
2016-05-27,147.61,152.93,146.66,152.84,99.204,14910875.0,0.0
2016-05-20,147.65,149.99,143.955,147.25,95.5757,16406443.0,0.0
2016-05-13,147.7,151.09,147.01,147.72,95.8808,17034303.0,0.0
2016-05-06,146.56,147.97,142.9,147.29,95.6017,21059912.0,1.4
2016-04-29,148.16,150.78,144.191,145.94,93.8335,16956550.0,0.0
2016-04-22,151.75,153.14,142.61,148.5,95.4795,37688644.0,0.0
2016-04-15,150.26,152.76,148.58,151.72,97.5498,17443203.0,0.0
2016-04-08,152.34,153.52,147.81,149.35,96.026,18417556.0,0.0
2016-04-01,147.75,153.1,147.23,152.52,98.0642,20439783.0,0.0
2016-03-24,147.3,149.28,144.49,147.95,95.1259,17611709.0,0.0
2016-03-18,142.01,147.51,141.04,147.09,94.5729,29886417.0,0.0
2016-03-11,137.28,142.9236,136.8718,142.36,91.5317,23556160.0,0.0
2016-03-04,132.0,139.42,130.9,137.8,88.5998,22557187.0,0.0
2016-02-26,133.84,134.92,129.68,132.03,84.89,20763400.0,0.0
2016-02-19,121.83,134.0,121.34,133.08,85.5651,23958762.0,0.0
2016-02-12,126.0,127.51,116.901,121.04,77.8238,32025579.0,1.3
2016-02-05,124.4,128.64,122.29,128.57,81.8276,25527891.0,0.0
2016-01-29,122.1,124.79,120.65,124.79,79.4218,27278749.0,0.0
2016-01-22,130.11,132.1,118.0,122.5,77.9644,44203492.0,0.0
2016-01-15,131.81,134.2799,128.87,130.03,82.7568,29470082.0,0.0
2016-01-08,135.6,136.89,131.32,131.63,83.7751,25251873.0,0.0
2015-12-31,137.74,140.44,136.54,137.62,87.5874,13538507.0,0.0
2015-12-24,135.83,139.305,134.02,138.25,87.9884,16540309.0,0.0
2015-12-18,135.31,139.65,134.02,134.9,85.8563,27823388.0,0.0
2015-12-11,140.16,140.41,133.91,134.57,85.6462,21354563.0,0.0
2015-12-04,138.61,141.4,137.99,140.43,89.3758,22935841.0,0.0
2015-11-27,138.53,139.34,137.12,138.46,88.122,13199481.0,0.0
2015-11-20,131.79,138.915,131.79,138.5,88.1475,21083793.0,0.0
2015-11-13,137.92,138.08,131.65,131.75,83.8515,25069755.0,0.0
2015-11-06,140.5,142.8,137.87,138.25,87.9884,21526383.0,1.3
2015-10-30,144.75,145.0,137.33,140.08,88.3225,34698762.0,0.0
2015-10-23,149.85,149.97,139.3,144.68,91.2229,42068316.0,0.0
2015-10-16,152.4,152.58,148.58,150.39,94.8231,17455488.0,0.0
2015-10-09,145.82,153.147,145.82,152.39,96.0842,19465122.0,0.0
2015-10-02,144.42,145.71,140.56,144.58,91.1598,19914471.0,0.0
2015-09-25,145.39,146.98,141.95,145.42,91.6895,16815584.0,0.0
2015-09-18,147.37,149.68,143.98,144.51,91.1157,20721826.0,0.0
2015-09-11,145.86,149.04,144.51,147.37,92.919,13916382.0,0.0
2015-09-04,147.26,148.4,141.85,143.7,90.605,21421138.0,0.0
2015-08-28,143.47,148.97,140.62,147.98,93.3036,32508092.0,0.0
2015-08-21,155.2,156.69,148.7,148.85,93.8521,19846207.0,0.0
2015-08-14,156.77,157.4652,153.95,155.75,98.2027,17165086.0,0.0
2015-08-07,161.7,161.85,154.335,155.12,97.8055,20138504.0,1.3
2015-07-31,159.0,162.06,158.5,161.99,101.2947,15380412.0,0.0
2015-07-24,172.79,173.78,159.41,159.75,99.894,37075256.0,0.0
2015-07-17,167.93,172.52,167.52,172.51,107.873,17138495.0,0.0
2015-07-10,163.83,167.4,162.2317,166.95,104.3963,18143986.0,0.0
2015-07-02,163.92,165.61,162.12,165.09,103.2332,12979210.0,0.0
2015-06-26,167.65,169.97,165.23,165.46,103.4646,20939777.0,0.0
2015-06-19,165.33,168.72,164.25,166.99,104.4213,20761376.0,0.0
2015-06-12,167.17,170.44,163.37,166.99,104.4213,18364270.0,0.0
2015-06-05,170.21,171.5601,167.2,167.4,104.6777,13868111.0,0.0
2015-05-29,172.11,172.48,169.13,169.65,106.0846,12435919.0,0.0
2015-05-22,173.44,174.44,171.93,172.22,107.6917,11939607.0,0.0
2015-05-15,172.65,174.41,168.84,173.26,108.342,13435074.0,0.0
2015-05-08,174.47,176.3,168.86,172.68,107.9793,16793441.0,1.3
2015-05-01,170.89,175.1303,170.02,173.67,107.7745,21874751.0,0.0
2015-04-24,162.1,171.91,161.9,169.78,105.3604,35436301.0,0.0
2015-04-17,162.37,164.96,160.03,160.67,99.7071,17532781.0,0.0
2015-04-10,159.69,163.84,158.702,162.86,101.0661,13917063.0,0.0
2015-04-02,161.31,163.6,158.39,160.45,99.5705,16765545.0,0.0
2015-03-27,162.77,165.35,158.91,160.4,99.5395,23569213.0,0.0
2015-03-20,155.05,163.0,154.8,162.88,101.0785,25684872.0,0.0
2015-03-13,158.2,161.15,153.4,154.28,95.7416,26135448.0,0.0
2015-03-06,161.68,161.89,158.06,158.5,98.3604,21117049.0,0.0
2015-02-27,164.23,164.99,159.77,161.94,100.4952,22941227.0,0.0
2015-02-20,159.75,164.49,159.73,163.65,101.5564,14108892.0,0.0
2015-02-13,156.0,160.8,155.08,160.4,99.5395,18164756.0,0.0
2015-02-06,154.0,158.71,151.51,156.72,97.2558,22439830.0,1.1
2015-01-30,158.26,159.46,149.52,153.31,94.4765,32927307.0,0.0
2015-01-23,156.7,157.6,151.07,155.87,96.0541,31230797.0,0.0
2015-01-16,159.0,159.97,153.74,157.14,96.8368,23272056.0,0.0
2015-01-09,161.27,161.27,154.03,159.11,98.0508,24440360.0,0.0
2015-01-02,162.0,163.31,159.45,162.06,99.8687,15698987.0,0.0
2014-12-26,158.33,163.09,158.33,162.34,100.0412,12508916.0,0.0
2014-12-19,155.93,160.41,150.5,158.51,97.681,34588770.0,0.0
2014-12-12,163.29,163.33,155.33,155.38,95.7522,23397756.0,0.0
2014-12-05,161.64,164.52,161.35,163.27,100.6143,20945441.0,0.0
2014-11-28,161.54,163.86,161.01,162.17,99.9365,17053892.0,0.0
2014-11-21,164.16,164.97,159.8,160.92,99.1662,22273217.0,0.0
2014-11-14,161.9,164.49,161.61,164.16,101.1628,20088151.0,0.0
2014-11-07,164.25,164.54,160.05,162.07,99.8748,20603321.0,1.1
2014-10-31,162.0,165.59,161.8,164.4,100.6252,27342119.0,0.0
2014-10-24,166.845,170.331,161.1,162.08,99.2051,69701346.0,0.0
2014-10-17,185.49,186.65,178.69,182.05,111.4283,24355568.0,0.0
2014-10-10,189.69,190.89,185.1,185.93,113.8031,15795271.0,0.0
2014-10-03,188.51,190.85,186.24,188.67,115.4802,14352364.0,0.0
2014-09-26,193.72,194.14,188.61,190.06,116.331,16209901.0,0.0
2014-09-19,191.42,195.0,190.58,194.0,118.7426,20044000.0,0.0
2014-09-12,190.75,192.78,189.51,191.28,117.0777,12878100.0,0.0
2014-09-05,192.68,192.97,190.06,191.2,117.0288,9627700.0,0.0
2014-08-29,191.39,194.133,190.66,192.3,117.702,11487700.0,0.0
2014-08-22,188.1,192.07,187.76,190.41,116.5452,11074800.0,0.0
2014-08-15,187.81,188.88,186.28,187.38,114.6906,10927100.0,0.0
2014-08-08,189.35,189.95,183.58,186.63,114.2316,14770900.0,1.1
2014-08-01,194.3,196.4,188.86,189.15,115.0932,19838900.0,0.0
2014-07-25,191.3,195.9,189.25,194.4,118.2877,19580700.0,0.0
2014-07-18,188.55,195.95,188.21,192.5,117.1316,34217100.0,0.0
2014-07-11,187.61,188.9,186.21,188.0,114.3935,14983700.0,0.0
2014-07-03,181.33,188.99,180.26,188.53,114.716,18382300.0,0.0
2014-06-27,181.92,183.0,179.27,181.71,110.5662,17703900.0,0.0
2014-06-20,182.4,184.47,181.235,181.55,110.4688,24186800.0,0.0
2014-06-13,186.22,187.64,180.91,182.56,111.0834,18143900.0,0.0
2014-06-06,184.76,187.65,183.92,186.37,113.4017,14243300.0,0.0
2014-05-30,184.8,185.65,182.33,184.36,112.1786,15895800.0,0.0
2014-05-23,186.61,187.16,184.7,185.94,113.14,14066100.0,0.0
2014-05-16,191.12,193.03,185.93,187.06,113.8215,19407200.0,0.0
2014-05-09,191.05,191.49,186.93,190.08,115.6591,13925300.0,1.1
2014-05-02,191.14,196.86,190.58,191.44,115.8137,21195300.0,0.0
2014-04-25,189.8,193.0,189.11,189.63,114.7187,22312800.0,0.0
2014-04-17,196.24,198.71,187.01,190.01,114.9486,30565200.0,0.0
2014-04-11,191.72,199.21,191.57,195.19,118.0823,30598500.0,0.0
2014-04-04,191.64,195.13,191.28,191.77,116.0133,29036500.0,0.0
2014-03-28,187.43,195.63,187.37,190.45,115.2148,35465000.0,0.0
2014-03-21,182.66,188.7,182.66,186.67,112.928,30821100.0,0.0
2014-03-14,187.55,188.45,182.21,182.21,110.2299,24057200.0,0.0
2014-03-07,183.33,188.92,182.82,187.68,113.539,20103400.0,0.0
2014-02-28,182.82,186.12,182.82,185.17,112.0206,20734000.0,0.0
2014-02-21,183.18,185.71,182.32,182.79,110.5808,19774200.0,0.0
2014-02-14,176.97,184.43,176.25,183.69,111.1252,21312600.0,0.0
2014-02-07,176.02,177.56,172.19,177.25,107.2293,25234000.0,0.95
2014-01-31,179.605,179.65,175.34,176.68,106.3063,25559900.0,0.0
2014-01-24,190.23,190.39,179.64,179.64,108.0873,38736900.0,0.0
2014-01-17,186.26,190.81,183.86,190.09,114.3749,27635300.0,0.0
2014-01-10,187.15,190.35,185.3,187.26,112.6721,22947500.0,0.0
2014-01-03,185.32,187.79,184.67,186.64,112.2991,15248000.0,0.0
2013-12-27,181.05,186.5,180.61,185.08,111.3605,12400800.0,0.0
2013-12-20,173.22,182.0,172.73,180.02,108.3159,32267100.0,0.0
2013-12-13,177.99,178.152,172.73,172.8,103.9717,21870800.0,0.0
2013-12-06,179.46,179.59,175.16,177.67,106.9019,24816100.0,0.0
2013-11-29,180.25,180.76,177.31,179.68,108.1113,20384900.0,0.0
2013-11-22,183.52,186.24,179.92,181.3,109.0861,25637400.0,0.0
2013-11-15,180.19,184.0487,179.66,183.19,110.2233,25682800.0,0.0
2013-11-08,179.9,181.39,177.35,179.99,108.2979,25635300.0,0.95
2013-11-01,177.04,182.32,176.2,179.23,107.2719,25853600.0,0.0
2013-10-25,174.42,179.1,172.6301,176.85,105.8474,29861500.0,0.0
2013-10-18,185.41,186.99,172.57,173.78,104.01,45663100.0,0.0
2013-10-11,181.85,186.23,178.71,186.16,111.4196,20859700.0,0.0
2013-10-04,185.56,186.74,183.0,184.1,110.1866,16351900.0,0.0
2013-09-27,190.06,192.41,186.45,186.92,111.8744,15079700.0,0.0
2013-09-20,193.7,194.89,190.02,190.02,113.7298,22379100.0,0.0
2013-09-13,183.68,193.1,183.31,192.17,115.0166,18194900.0,0.0
2013-09-06,183.63,185.0,182.31,183.03,109.5462,11856200.0,0.0
2013-08-30,185.27,187.0,181.1,182.27,109.0913,15052200.0,0.0
2013-08-23,185.3,186.57,183.1685,185.42,110.9767,14564700.0,0.0
2013-08-16,186.97,189.99,185.34,185.34,110.9288,16580500.0,0.0
2013-08-09,195.16,195.88,186.79,187.82,112.4131,20128300.0,0.95
2013-08-02,196.83,197.83,193.2215,195.16,116.2207,15338600.0,0.0
2013-07-26,193.4,197.83,193.2804,197.35,117.5248,14719100.0,0.0
2013-07-19,192.42,200.94,191.68,193.54,115.2559,31679400.0,0.0
2013-07-12,195.6,195.78,190.78,192.07,114.3805,20715900.0,0.0
2013-07-05,192.15,195.16,190.26,194.93,116.0837,12378100.0,0.0
2013-06-28,193.99,196.9,188.41,191.11,113.8088,25092600.0,0.0
2013-06-21,203.44,206.09,193.5401,195.46,116.3993,22773400.0,0.0
2013-06-14,206.97,206.98,200.34,202.2,120.4131,14580500.0,0.0
2013-06-07,208.25,210.05,201.47,206.35,122.8845,17768500.0,0.0
2013-05-31,207.44,211.98,206.04,208.02,123.879,16799600.0,0.0
